	平均点,	　数学　,	　理科　,	　社会　,	　国語　,	　英語　
		50.973 ,	50.831 ,	50.897 ,	51.035 ,	50.155

	順位,	番号,	数学,	理科,	社会,	国語,	英語,	総合
	50 ,	15698 ,	92 ,	88 ,	89 ,	61 ,	97 ,	427
	50 ,	7221 ,	73 ,	88 ,	98 ,	96 ,	72 ,	427
	50 ,	14232 ,	88 ,	81 ,	98 ,	87 ,	73 ,	427
	53 ,	15498 ,	54 ,	89 ,	87 ,	99 ,	97 ,	426
	53 ,	9730 ,	63 ,	92 ,	96 ,	83 ,	92 ,	426
	55 ,	13052 ,	81 ,	98 ,	100 ,	62 ,	84 ,	425
	55 ,	17604 ,	58 ,	91 ,	83 ,	98 ,	95 ,	425
	55 ,	26 ,	89 ,	77 ,	92 ,	67 ,	100 ,	425
	55 ,	16928 ,	94 ,	100 ,	87 ,	47 ,	97 ,	425
	59 ,	16120 ,	70 ,	96 ,	73 ,	96 ,	89 ,	424
	59 ,	5982 ,	98 ,	76 ,	86 ,	75 ,	89 ,	424
	59 ,	10722 ,	91 ,	71 ,	77 ,	87 ,	98 ,	424
	59 ,	709 ,	54 ,	94 ,	99 ,	77 ,	100 ,	424
	63 ,	9884 ,	97 ,	58 ,	90 ,	100 ,	78 ,	423
	63 ,	5566 ,	94 ,	95 ,	83 ,	89 ,	62 ,	423
	63 ,	16970 ,	47 ,	96 ,	98 ,	88 ,	94 ,	423
	63 ,	9181 ,	92 ,	80 ,	75 ,	82 ,	94 ,	423
	63 ,	10329 ,	98 ,	81 ,	99 ,	60 ,	85 ,	423
	68 ,	5094 ,	97 ,	91 ,	100 ,	95 ,	39 ,	422
	68 ,	18209 ,	100 ,	98 ,	96 ,	59 ,	69 ,	422
	70 ,	12707 ,	89 ,	82 ,	78 ,	90 ,	82 ,	421
	70 ,	9564 ,	77 ,	87 ,	77 ,	99 ,	81 ,	421
	70 ,	16528 ,	87 ,	80 ,	79 ,	92 ,	83 ,	421
	70 ,	17176 ,	98 ,	96 ,	87 ,	79 ,	61 ,	421
	70 ,	8182 ,	89 ,	43 ,	97 ,	98 ,	94 ,	421
	70 ,	8524 ,	92 ,	94 ,	82 ,	85 ,	68 ,	421
	70 ,	4976 ,	90 ,	64 ,	100 ,	96 ,	71 ,	421
	77 ,	16291 ,	100 ,	67 ,	100 ,	84 ,	69 ,	420
	77 ,	18165 ,	84 ,	94 ,	49 ,	94 ,	99 ,	420
	77 ,	9290 ,	73 ,	58 ,	98 ,	97 ,	94 ,	420
	80 ,	16225 ,	78 ,	94 ,	98 ,	67 ,	82 ,	419
	80 ,	16133 ,	86 ,	63 ,	95 ,	85 ,	90 ,	419
	80 ,	14556 ,	94 ,	93 ,	70 ,	85 ,	77 ,	419
	83 ,	1315 ,	77 ,	90 ,	75 ,	92 ,	84 ,	418
	83 ,	19815 ,	80 ,	90 ,	93 ,	76 ,	79 ,	418
	83 ,	10991 ,	99 ,	65 ,	90 ,	79 ,	85 ,	418
	83 ,	8233 ,	71 ,	94 ,	88 ,	95 ,	70 ,	418
	87 ,	4487 ,	96 ,	97 ,	89 ,	98 ,	37 ,	417
	87 ,	150 ,	90 ,	98 ,	62 ,	93 ,	74 ,	417
	87 ,	1241 ,	78 ,	92 ,	79 ,	77 ,	91 ,	417
	87 ,	4045 ,	97 ,	59 ,	79 ,	94 ,	88 ,	417
	87 ,	17011 ,	77 ,	52 ,	97 ,	96 ,	95 ,	417
	92 ,	8668 ,	54 ,	91 ,	96 ,	90 ,	85 ,	416
	92 ,	17686 ,	81 ,	51 ,	96 ,	91 ,	97 ,	416
	92 ,	201 ,	81 ,	94 ,	98 ,	52 ,	91 ,	416
	92 ,	10052 ,	94 ,	74 ,	88 ,	95 ,	65 ,	416
	92 ,	2435 ,	99 ,	42 ,	96 ,	89 ,	90 ,	416
	92 ,	2256 ,	98 ,	83 ,	64 ,	83 ,	88 ,	416
	92 ,	2840 ,	80 ,	54 ,	91 ,	93 ,	98 ,	416
	99 ,	17436 ,	100 ,	89 ,	44 ,	85 ,	97 ,	415
	99 ,	17187 ,	100 ,	69 ,	90 ,	97 ,	59 ,	415
	99 ,	6999 ,	92 ,	63 ,	67 ,	94 ,	99 ,	415
	99 ,	2725 ,	82 ,	81 ,	76 ,	90 ,	86 ,	415
	103 ,	3524 ,	100 ,	73 ,	44 ,	100 ,	97 ,	414
	103 ,	17455 ,	72 ,	73 ,	74 ,	96 ,	99 ,	414
	103 ,	13973 ,	94 ,	75 ,	92 ,	99 ,	54 ,	414
	103 ,	792 ,	89 ,	81 ,	98 ,	73 ,	73 ,	414
	103 ,	6325 ,	99 ,	92 ,	53 ,	84 ,	86 ,	414
	108 ,	8309 ,	98 ,	87 ,	90 ,	97 ,	41 ,	413
	108 ,	11765 ,	78 ,	71 ,	82 ,	87 ,	95 ,	413
	108 ,	14932 ,	84 ,	72 ,	92 ,	78 ,	87 ,	413
	108 ,	8515 ,	100 ,	99 ,	82 ,	45 ,	87 ,	413
	108 ,	5396 ,	60 ,	71 ,	88 ,	100 ,	94 ,	413
	108 ,	7559 ,	91 ,	42 ,	91 ,	98 ,	91 ,	413
	108 ,	1184 ,	93 ,	87 ,	84 ,	94 ,	55 ,	413
	108 ,	8421 ,	99 ,	97 ,	91 ,	35 ,	91 ,	413
	116 ,	17997 ,	83 ,	89 ,	98 ,	70 ,	72 ,	412
	116 ,	10274 ,	61 ,	93 ,	79 ,	87 ,	92 ,	412
	116 ,	4990 ,	95 ,	75 ,	68 ,	97 ,	77 ,	412
	116 ,	6037 ,	95 ,	86 ,	97 ,	36 ,	98 ,	412
	116 ,	6938 ,	87 ,	86 ,	97 ,	97 ,	45 ,	412
	116 ,	5584 ,	52 ,	96 ,	82 ,	83 ,	99 ,	412
	122 ,	6153 ,	89 ,	48 ,	74 ,	100 ,	100 ,	411
	122 ,	2386 ,	97 ,	88 ,	95 ,	100 ,	31 ,	411
	122 ,	17649 ,	97 ,	51 ,	96 ,	75 ,	92 ,	411
	122 ,	1940 ,	79 ,	94 ,	80 ,	69 ,	89 ,	411
	122 ,	11770 ,	77 ,	87 ,	74 ,	90 ,	83 ,	411
	122 ,	8199 ,	100 ,	50 ,	81 ,	86 ,	94 ,	411
	122 ,	6286 ,	79 ,	92 ,	66 ,	94 ,	80 ,	411
	122 ,	18058 ,	67 ,	66 ,	97 ,	83 ,	98 ,	411
	122 ,	13971 ,	99 ,	85 ,	77 ,	75 ,	75 ,	411
	122 ,	17974 ,	91 ,	58 ,	90 ,	90 ,	82 ,	411
	122 ,	4810 ,	97 ,	94 ,	36 ,	96 ,	88 ,	411
	133 ,	11413 ,	83 ,	77 ,	100 ,	98 ,	52 ,	410
	133 ,	18234 ,	85 ,	92 ,	83 ,	80 ,	70 ,	410
	133 ,	15960 ,	91 ,	59 ,	83 ,	80 ,	97 ,	410
	133 ,	12331 ,	98 ,	91 ,	30 ,	95 ,	96 ,	410
	137 ,	2598 ,	79 ,	67 ,	99 ,	83 ,	81 ,	409
	137 ,	15355 ,	71 ,	86 ,	70 ,	83 ,	99 ,	409
	137 ,	4663 ,	89 ,	77 ,	76 ,	67 ,	100 ,	409
	137 ,	15350 ,	51 ,	99 ,	100 ,	72 ,	87 ,	409
	141 ,	19515 ,	93 ,	94 ,	78 ,	47 ,	96 ,	408
	141 ,	16034 ,	90 ,	81 ,	82 ,	73 ,	82 ,	408
	141 ,	9999 ,	50 ,	94 ,	89 ,	76 ,	99 ,	408
	141 ,	19277 ,	77 ,	66 ,	87 ,	89 ,	89 ,	408
	141 ,	17017 ,	89 ,	88 ,	99 ,	51 ,	81 ,	408
	141 ,	17517 ,	74 ,	78 ,	87 ,	73 ,	96 ,	408
	141 ,	9684 ,	90 ,	90 ,	79 ,	72 ,	77 ,	408
	141 ,	19330 ,	96 ,	97 ,	99 ,	34 ,	82 ,	408
	149 ,	1745 ,	64 ,	67 ,	84 ,	95 ,	97 ,	407
	149 ,	19592 ,	100 ,	93 ,	70 ,	68 ,	76 ,	407
	149 ,	6000 ,	96 ,	84 ,	97 ,	40 ,	90 ,	407
	149 ,	15803 ,	80 ,	61 ,	77 ,	94 ,	95 ,	407
	149 ,	10096 ,	97 ,	76 ,	93 ,	61 ,	80 ,	407
	149 ,	13402 ,	35 ,	98 ,	96 ,	83 ,	95 ,	407
	149 ,	4795 ,	86 ,	75 ,	73 ,	92 ,	81 ,	407
	149 ,	11768 ,	96 ,	84 ,	51 ,	100 ,	76 ,	407
	157 ,	6241 ,	96 ,	54 ,	86 ,	99 ,	71 ,	406
	157 ,	9112 ,	89 ,	42 ,	87 ,	97 ,	91 ,	406
	157 ,	14350 ,	79 ,	68 ,	71 ,	99 ,	89 ,	406
	157 ,	16622 ,	23 ,	100 ,	94 ,	89 ,	100 ,	406
	157 ,	17929 ,	75 ,	92 ,	85 ,	89 ,	65 ,	406
	157 ,	14068 ,	84 ,	92 ,	91 ,	88 ,	51 ,	406
	163 ,	13886 ,	83 ,	77 ,	69 ,	96 ,	80 ,	405
	163 ,	6474 ,	87 ,	64 ,	74 ,	93 ,	87 ,	405
	163 ,	10015 ,	58 ,	94 ,	87 ,	73 ,	93 ,	405
	163 ,	18020 ,	92 ,	82 ,	79 ,	71 ,	81 ,	405
	163 ,	7792 ,	86 ,	85 ,	78 ,	71 ,	85 ,	405
	163 ,	14233 ,	94 ,	90 ,	99 ,	69 ,	53 ,	405
	163 ,	6969 ,	95 ,	53 ,	80 ,	86 ,	91 ,	405
	163 ,	13876 ,	99 ,	75 ,	71 ,	81 ,	79 ,	405
	163 ,	19274 ,	81 ,	83 ,	89 ,	83 ,	69 ,	405
	163 ,	16243 ,	98 ,	82 ,	99 ,	37 ,	89 ,	405
	163 ,	3939 ,	90 ,	51 ,	79 ,	89 ,	96 ,	405
	174 ,	16064 ,	95 ,	79 ,	96 ,	51 ,	83 ,	404
	174 ,	15295 ,	87 ,	73 ,	99 ,	76 ,	69 ,	404
	174 ,	1531 ,	79 ,	82 ,	92 ,	59 ,	92 ,	404
	174 ,	11492 ,	97 ,	89 ,	96 ,	78 ,	44 ,	404
	174 ,	6646 ,	65 ,	96 ,	71 ,	74 ,	98 ,	404
	174 ,	10006 ,	88 ,	96 ,	84 ,	82 ,	54 ,	404
	174 ,	1121 ,	96 ,	90 ,	66 ,	93 ,	59 ,	404
	174 ,	4813 ,	93 ,	67 ,	93 ,	65 ,	86 ,	404
	174 ,	9478 ,	81 ,	54 ,	99 ,	89 ,	81 ,	404
	183 ,	3281 ,	88 ,	90 ,	60 ,	89 ,	76 ,	403
	183 ,	6919 ,	51 ,	84 ,	85 ,	95 ,	88 ,	403
	183 ,	14034 ,	98 ,	86 ,	100 ,	42 ,	77 ,	403
	183 ,	6467 ,	75 ,	96 ,	48 ,	96 ,	88 ,	403
	183 ,	15780 ,	95 ,	74 ,	69 ,	69 ,	96 ,	403
	183 ,	9388 ,	83 ,	82 ,	74 ,	90 ,	74 ,	403
	183 ,	8118 ,	68 ,	80 ,	88 ,	93 ,	74 ,	403
	190 ,	12072 ,	94 ,	67 ,	90 ,	56 ,	95 ,	402
	190 ,	1013 ,	85 ,	28 ,	92 ,	100 ,	97 ,	402
	190 ,	13837 ,	77 ,	86 ,	99 ,	55 ,	85 ,	402
	190 ,	3077 ,	92 ,	63 ,	91 ,	64 ,	92 ,	402
	194 ,	8432 ,	98 ,	93 ,	63 ,	88 ,	59 ,	401
	194 ,	13664 ,	55 ,	82 ,	100 ,	80 ,	84 ,	401
	194 ,	19167 ,	51 ,	82 ,	96 ,	82 ,	90 ,	401
	194 ,	11220 ,	97 ,	44 ,	90 ,	86 ,	84 ,	401
	194 ,	7151 ,	100 ,	69 ,	77 ,	63 ,	92 ,	401
	194 ,	3040 ,	65 ,	92 ,	96 ,	51 ,	97 ,	401
	194 ,	7098 ,	54 ,	86 ,	82 ,	97 ,	82 ,	401
	194 ,	8467 ,	94 ,	82 ,	95 ,	58 ,	72 ,	401
	194 ,	10955 ,	68 ,	87 ,	70 ,	78 ,	98 ,	401
	203 ,	16696 ,	91 ,	73 ,	82 ,	84 ,	70 ,	400
	203 ,	12743 ,	73 ,	82 ,	51 ,	97 ,	97 ,	400
	203 ,	14603 ,	77 ,	97 ,	53 ,	79 ,	94 ,	400
	203 ,	97 ,	61 ,	81 ,	80 ,	82 ,	96 ,	400
	203 ,	19933 ,	93 ,	87 ,	71 ,	96 ,	53 ,	400
	203 ,	15256 ,	95 ,	59 ,	95 ,	97 ,	54 ,	400
	203 ,	18799 ,	93 ,	88 ,	87 ,	57 ,	75 ,	400
	210 ,	692 ,	82 ,	59 ,	96 ,	94 ,	68 ,	399
	210 ,	14660 ,	78 ,	76 ,	84 ,	63 ,	98 ,	399
	210 ,	14806 ,	82 ,	32 ,	99 ,	88 ,	98 ,	399
	210 ,	1260 ,	84 ,	62 ,	85 ,	82 ,	86 ,	399
	210 ,	16801 ,	66 ,	99 ,	37 ,	99 ,	98 ,	399
	210 ,	1161 ,	100 ,	100 ,	52 ,	95 ,	52 ,	399
	210 ,	18505 ,	97 ,	100 ,	83 ,	51 ,	68 ,	399
	210 ,	11155 ,	73 ,	96 ,	91 ,	83 ,	56 ,	399
	210 ,	7835 ,	84 ,	63 ,	89 ,	89 ,	74 ,	399
	219 ,	1910 ,	71 ,	72 ,	94 ,	82 ,	79 ,	398
	219 ,	3937 ,	83 ,	92 ,	36 ,	91 ,	96 ,	398
	219 ,	4001 ,	33 ,	80 ,	94 ,	96 ,	95 ,	398
	219 ,	14866 ,	96 ,	13 ,	100 ,	91 ,	98 ,	398
	219 ,	13904 ,	73 ,	75 ,	96 ,	85 ,	69 ,	398
	219 ,	5451 ,	81 ,	62 ,	76 ,	100 ,	79 ,	398
	219 ,	7909 ,	89 ,	41 ,	100 ,	77 ,	91 ,	398
	219 ,	2217 ,	73 ,	77 ,	72 ,	79 ,	97 ,	398
	219 ,	10804 ,	95 ,	51 ,	84 ,	83 ,	85 ,	398
	219 ,	565 ,	58 ,	74 ,	93 ,	92 ,	81 ,	398
	229 ,	13111 ,	16 ,	99 ,	93 ,	89 ,	100 ,	397
	229 ,	19539 ,	98 ,	72 ,	88 ,	64 ,	75 ,	397
	229 ,	18948 ,	68 ,	50 ,	98 ,	86 ,	95 ,	397
	229 ,	13712 ,	95 ,	98 ,	58 ,	89 ,	57 ,	397
	229 ,	947 ,	84 ,	72 ,	84 ,	67 ,	90 ,	397
	229 ,	11397 ,	62 ,	80 ,	98 ,	96 ,	61 ,	397
	229 ,	14607 ,	96 ,	82 ,	93 ,	63 ,	63 ,	397
	236 ,	14092 ,	100 ,	51 ,	89 ,	85 ,	71 ,	396
	236 ,	674 ,	57 ,	80 ,	85 ,	77 ,	97 ,	396
	236 ,	885 ,	86 ,	97 ,	84 ,	80 ,	49 ,	396
	236 ,	15167 ,	87 ,	68 ,	76 ,	97 ,	68 ,	396
	236 ,	326 ,	68 ,	98 ,	81 ,	80 ,	69 ,	396
	236 ,	10294 ,	86 ,	100 ,	51 ,	69 ,	90 ,	396
	236 ,	11200 ,	99 ,	97 ,	72 ,	36 ,	92 ,	396
	236 ,	14768 ,	74 ,	68 ,	67 ,	100 ,	87 ,	396
	236 ,	3600 ,	96 ,	82 ,	56 ,	67 ,	95 ,	396
	236 ,	14137 ,	86 ,	71 ,	63 ,	92 ,	84 ,	396
	236 ,	3244 ,	84 ,	76 ,	73 ,	72 ,	91 ,	396
	247 ,	8255 ,	94 ,	85 ,	57 ,	96 ,	63 ,	395
	247 ,	5839 ,	95 ,	65 ,	84 ,	80 ,	71 ,	395
	247 ,	8895 ,	67 ,	55 ,	96 ,	85 ,	92 ,	395
	247 ,	13870 ,	62 ,	72 ,	97 ,	67 ,	97 ,	395
	247 ,	19965 ,	73 ,	68 ,	100 ,	90 ,	64 ,	395
	247 ,	19546 ,	80 ,	76 ,	81 ,	93 ,	65 ,	395
	253 ,	17115 ,	95 ,	100 ,	59 ,	40 ,	100 ,	394
	253 ,	10121 ,	91 ,	86 ,	83 ,	41 ,	93 ,	394
	253 ,	14035 ,	96 ,	91 ,	67 ,	66 ,	74 ,	394
	253 ,	13110 ,	96 ,	81 ,	78 ,	98 ,	41 ,	394
	253 ,	10218 ,	33 ,	89 ,	99 ,	95 ,	78 ,	394
	253 ,	16057 ,	46 ,	90 ,	85 ,	88 ,	85 ,	394
	253 ,	3620 ,	80 ,	88 ,	79 ,	100 ,	47 ,	394
	253 ,	12145 ,	65 ,	93 ,	78 ,	80 ,	78 ,	394
	253 ,	13364 ,	91 ,	95 ,	86 ,	98 ,	24 ,	394
	253 ,	2576 ,	85 ,	89 ,	90 ,	85 ,	45 ,	394
	253 ,	13711 ,	54 ,	57 ,	96 ,	87 ,	100 ,	394
	264 ,	1734 ,	90 ,	79 ,	100 ,	57 ,	67 ,	393
	264 ,	8700 ,	83 ,	87 ,	75 ,	54 ,	94 ,	393
	264 ,	7430 ,	89 ,	75 ,	84 ,	51 ,	94 ,	393
	264 ,	6290 ,	56 ,	93 ,	75 ,	93 ,	76 ,	393
	264 ,	5367 ,	54 ,	68 ,	87 ,	95 ,	89 ,	393
	264 ,	6315 ,	98 ,	31 ,	88 ,	80 ,	96 ,	393
	264 ,	15123 ,	48 ,	78 ,	88 ,	80 ,	99 ,	393
	264 ,	10148 ,	93 ,	80 ,	90 ,	48 ,	82 ,	393
	264 ,	5921 ,	96 ,	82 ,	79 ,	94 ,	42 ,	393
	264 ,	10686 ,	83 ,	94 ,	87 ,	38 ,	91 ,	393
	264 ,	14299 ,	71 ,	87 ,	74 ,	81 ,	80 ,	393
	275 ,	1284 ,	88 ,	98 ,	61 ,	77 ,	68 ,	392
	275 ,	12817 ,	75 ,	77 ,	47 ,	93 ,	100 ,	392
	275 ,	3942 ,	86 ,	48 ,	66 ,	95 ,	97 ,	392
	275 ,	13671 ,	99 ,	64 ,	56 ,	95 ,	78 ,	392
	275 ,	15026 ,	87 ,	68 ,	45 ,	95 ,	97 ,	392
	275 ,	6305 ,	78 ,	68 ,	85 ,	71 ,	90 ,	392
	275 ,	19503 ,	46 ,	88 ,	95 ,	94 ,	69 ,	392
	275 ,	5277 ,	79 ,	87 ,	42 ,	85 ,	99 ,	392
	275 ,	4120 ,	93 ,	91 ,	57 ,	60 ,	91 ,	392
	275 ,	16140 ,	33 ,	91 ,	81 ,	87 ,	100 ,	392
	275 ,	17863 ,	100 ,	78 ,	97 ,	46 ,	71 ,	392
	286 ,	15477 ,	83 ,	51 ,	97 ,	61 ,	99 ,	391
	286 ,	12068 ,	91 ,	95 ,	62 ,	56 ,	87 ,	391
	286 ,	5937 ,	86 ,	46 ,	93 ,	81 ,	85 ,	391
	286 ,	17260 ,	88 ,	86 ,	82 ,	81 ,	54 ,	391
	286 ,	8020 ,	83 ,	75 ,	57 ,	84 ,	92 ,	391
	286 ,	16903 ,	96 ,	92 ,	68 ,	38 ,	97 ,	391
	286 ,	4524 ,	65 ,	75 ,	98 ,	66 ,	87 ,	391
	286 ,	14871 ,	91 ,	91 ,	46 ,	79 ,	84 ,	391
	294 ,	11047 ,	81 ,	78 ,	92 ,	50 ,	89 ,	390
	294 ,	3012 ,	65 ,	84 ,	88 ,	96 ,	57 ,	390
	294 ,	761 ,	90 ,	91 ,	74 ,	54 ,	81 ,	390
	294 ,	19029 ,	83 ,	89 ,	29 ,	98 ,	91 ,	390
	294 ,	13738 ,	55 ,	76 ,	94 ,	94 ,	71 ,	390
	294 ,	19889 ,	95 ,	79 ,	73 ,	84 ,	59 ,	390
	294 ,	16264 ,	53 ,	96 ,	92 ,	50 ,	99 ,	390
	294 ,	3014 ,	80 ,	76 ,	77 ,	99 ,	58 ,	390
	294 ,	6118 ,	83 ,	85 ,	32 ,	90 ,	100 ,	390
	303 ,	4519 ,	65 ,	90 ,	82 ,	85 ,	67 ,	389
	303 ,	5663 ,	96 ,	97 ,	72 ,	47 ,	77 ,	389
	303 ,	376 ,	91 ,	92 ,	84 ,	79 ,	43 ,	389
	303 ,	3793 ,	94 ,	70 ,	51 ,	99 ,	75 ,	389
	303 ,	492 ,	95 ,	87 ,	32 ,	95 ,	80 ,	389
	303 ,	5603 ,	95 ,	97 ,	77 ,	57 ,	63 ,	389
	303 ,	5390 ,	80 ,	63 ,	82 ,	84 ,	80 ,	389
	303 ,	18990 ,	82 ,	70 ,	74 ,	78 ,	85 ,	389
	303 ,	17424 ,	64 ,	50 ,	87 ,	98 ,	90 ,	389
	303 ,	17272 ,	67 ,	65 ,	94 ,	86 ,	77 ,	389
	303 ,	11881 ,	89 ,	84 ,	23 ,	93 ,	100 ,	389
	314 ,	18275 ,	72 ,	100 ,	99 ,	45 ,	72 ,	388
	314 ,	3449 ,	34 ,	83 ,	94 ,	98 ,	79 ,	388
	314 ,	10027 ,	85 ,	80 ,	39 ,	98 ,	86 ,	388
	314 ,	16536 ,	57 ,	100 ,	72 ,	85 ,	74 ,	388
	314 ,	5838 ,	59 ,	90 ,	94 ,	95 ,	50 ,	388
	314 ,	17591 ,	75 ,	60 ,	84 ,	78 ,	91 ,	388
	314 ,	15053 ,	87 ,	88 ,	74 ,	49 ,	90 ,	388
	314 ,	324 ,	57 ,	78 ,	76 ,	94 ,	83 ,	388
	314 ,	2484 ,	90 ,	84 ,	82 ,	75 ,	57 ,	388
	314 ,	10125 ,	88 ,	81 ,	88 ,	88 ,	43 ,	388
	314 ,	12777 ,	96 ,	98 ,	96 ,	86 ,	12 ,	388
	314 ,	6351 ,	82 ,	96 ,	88 ,	92 ,	30 ,	388
	314 ,	1187 ,	90 ,	80 ,	46 ,	98 ,	74 ,	388
	314 ,	13668 ,	76 ,	92 ,	84 ,	60 ,	76 ,	388
	314 ,	11313 ,	83 ,	61 ,	76 ,	91 ,	77 ,	388
	314 ,	18755 ,	99 ,	100 ,	48 ,	53 ,	88 ,	388
	330 ,	11284 ,	75 ,	80 ,	90 ,	79 ,	63 ,	387
	330 ,	13553 ,	61 ,	77 ,	81 ,	94 ,	74 ,	387
	330 ,	4680 ,	75 ,	91 ,	76 ,	63 ,	82 ,	387
	330 ,	19684 ,	73 ,	57 ,	96 ,	87 ,	74 ,	387
	330 ,	14744 ,	73 ,	83 ,	69 ,	64 ,	98 ,	387
	330 ,	17695 ,	67 ,	84 ,	83 ,	88 ,	65 ,	387
	330 ,	11756 ,	98 ,	52 ,	95 ,	42 ,	100 ,	387
	330 ,	1954 ,	57 ,	90 ,	82 ,	84 ,	74 ,	387
	330 ,	6931 ,	100 ,	94 ,	89 ,	8 ,	96 ,	387
	330 ,	1232 ,	69 ,	92 ,	79 ,	67 ,	80 ,	387
	330 ,	15590 ,	95 ,	52 ,	81 ,	72 ,	87 ,	387
	330 ,	5230 ,	100 ,	26 ,	84 ,	94 ,	83 ,	387
	330 ,	7548 ,	83 ,	53 ,	77 ,	90 ,	84 ,	387
	343 ,	18040 ,	78 ,	81 ,	85 ,	79 ,	63 ,	386
	343 ,	19447 ,	91 ,	46 ,	100 ,	49 ,	100 ,	386
	343 ,	7536 ,	49 ,	98 ,	93 ,	71 ,	75 ,	386
	343 ,	10937 ,	97 ,	42 ,	99 ,	64 ,	84 ,	386
	343 ,	14498 ,	79 ,	78 ,	60 ,	96 ,	73 ,	386
	343 ,	4529 ,	42 ,	94 ,	78 ,	95 ,	77 ,	386
	343 ,	19108 ,	87 ,	85 ,	48 ,	96 ,	70 ,	386
	343 ,	14061 ,	98 ,	23 ,	99 ,	84 ,	82 ,	386
	343 ,	9614 ,	75 ,	88 ,	54 ,	90 ,	79 ,	386
	343 ,	12489 ,	25 ,	86 ,	90 ,	88 ,	97 ,	386
	343 ,	6055 ,	97 ,	57 ,	83 ,	86 ,	63 ,	386
	343 ,	4517 ,	93 ,	97 ,	14 ,	98 ,	84 ,	386
